County,Population,State,mergedkeycol,Low Access Numbers.Low Income People.1/2 Mile,Low Access Numbers.People.1/2 Mile,Percentage of Low Income People,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,"Ethnicities.White Alone	 not Hispanic or Latino",Ethnicities.Asian Alone,Housing.Homeownership Rate,Housing.Median Value of Owner-Occupied Units,Income.Median Houseold Income,Miscellaneous.Foreign Born,Miscellaneous.Language Other than English at Home,Population.Population per Square Mile,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Total,Percentage of Minority Businesses
autaugacounty,54571,al,autaugacountyal,15518,49497,0.31351395,26.6,88.5,20.1,3,73.8,1.2,73.3,154500,58731,2.3,4.3,91.8,616,2160,2949,0.208884368
baldwincounty,182265,al,baldwincountyal,48117,165616,0.290533523,31.9,90.8,8.8,4.7,83.2,1.1,75.2,197900,58320,3.7,5.4,114.6,2130,16893,19732,0.107946483
barbourcounty,27457,al,barbourcountyal,11901,23762,0.50084168,11.6,73.2,48.2,4.5,45.5,0.5,60.9,90700,32525,2.7,7.1,31,657,941,1687,0.389448726
bibbcounty,22915,al,bibbcountyal,8349,20989,0.397779789,10.4,79.1,21.3,2.8,74.4,0.2,74.4,92800,47542,1.5,2.3,36.8,205,1050,1310,0.15648855
blountcounty,57322,al,blountcountyal,19806,54933,0.360548304,13.1,80.5,1.7,9.7,86.8,0.3,78.8,127800,49358,4.5,8.2,88.9,368,4011,4550,0.080879121
bullockcounty,10914,al,bullockcountyal,4676,10068,0.464441796,12.1,74.7,70.3,8.6,21,0.2,71.1,70300,37785,0.7,3.4,17.5,389,229,650,0.598461538
butlercounty,20947,al,butlercountyal,8647,18066,0.478633898,16.1,85,45,1.5,51.1,1.4,70,95900,40688,0.8,1.3,27,416,889,1390,0.299280576
calhouncounty,118572,al,calhouncountyal,42330,103164,0.410317553,18.5,84.4,21.3,4.1,71.7,0.9,70.1,118000,47255,2.7,4.3,195.7,1041,6103,7513,0.13855983
chamberscounty,34215,al,chamberscountyal,12879,28913,0.445439768,13.3,81.6,40.2,2.6,55.1,1.1,67.5,97100,42289,1.8,2.4,57.4,1107,1635,2812,0.393669986
cherokeecounty,25989,al,cherokeecountyal,10341,25204,0.410292017,12.8,81.6,4.1,1.7,91.7,0.4,77.3,123400,41919,0.9,1.5,46.9,68,1430,1555,0.043729904
chiltoncounty,43643,al,chiltoncountyal,16949,41256,0.410825092,12.7,81.8,10.3,8.2,79.9,0.5,74.5,107300,47468,4.6,7.5,63,296,2750,3130,0.09456869
choctawcounty,13859,al,choctawcountyal,6319,13381,0.472236754,11.9,81.4,41.7,1,56.3,0.2,80.9,74100,35892,0.6,1.6,15.2,321,870,1233,0.260340633
clarkecounty,25833,al,clarkecountyal,10928,24001,0.455314362,12.2,80.6,45,1.3,52.1,0.4,70.1,112500,37404,0.2,0.9,20.9,694,1609,2417,0.287132809
claycounty,13932,al,claycountyal,5403,12372,0.43671193,10.6,76.7,13.8,3.3,80.3,0.3,75.5,107800,40845,2,3.2,23.1,119,726,873,0.136311569
cleburnecounty,14972,al,cleburnecountyal,5596,13644,0.410143653,15.4,79,2.8,2.6,92.8,0.2,76.1,116500,44741,1.6,2.9,26.7,64,1107,1185,0.054008439
coffeecounty,49948,al,coffeecountyal,14049,43582,0.322357854,22.8,85.9,17.6,8,69.4,1.7,65.7,147400,55637,4,6.4,73.6,716,2846,3690,0.19403794
colbertcounty,54428,al,colbertcountyal,17109,47830,0.35770437,18.1,85.2,16.2,3.2,77.7,0.7,72.2,120800,48065,1.9,2.7,91.8,678,4244,5090,0.133202358
conecuhcounty,13228,al,conecuhcountyal,7073,12276,0.576164875,12.8,84.3,46.1,2.3,50.4,0.2,76.1,81000,37837,0.9,0.4,15.6,236,567,833,0.283313325
coosacounty,11539,al,coosacountyal,4459,10975,0.406287016,12.8,80,30.9,2.6,65.1,0.2,79.2,84000,38990,0.5,0.7,17.7,86,363,460,0.186956522
covingtoncounty,37765,al,covingtoncountyal,13548,33650,0.402615156,15.3,83.4,12.5,1.9,83.1,0.5,74.5,97600,42189,0.8,1.7,36.6,375,2177,2657,0.14113662
crenshawcounty,13906,al,crenshawcountyal,5466,12401,0.440770906,17.4,79.2,23.9,2.4,70.3,1.1,75.5,81000,43163,1.4,2,22.8,191,708,923,0.206933911
cullmancounty,80406,al,cullmancountyal,30687,75716,0.405290824,13.9,81.6,1.4,4.5,91.7,0.7,74.8,128600,44918,2.6,4,109.4,219,6014,6433,0.034043215
dalecounty,50251,al,dalecountyal,19284,47032,0.410018711,18.1,86.1,21,7,68,1.5,60.1,112000,47214,3.5,6.2,89.6,594,1997,2712,0.219026549
dallascounty,43820,al,dallascountyal,20376,36298,0.561353243,14.7,81.8,70.7,1.2,27,0.4,59.3,83300,33845,1.3,1.4,44.8,1409,1134,2726,0.516874541
dekalbcounty,71109,al,dekalbcountyal,32208,66513,0.484236164,13,74.8,1.9,15.1,79.8,0.5,71.5,106100,40440,7.3,12.9,91.5,311,5291,5850,0.053162393
elmorecounty,79303,al,elmorecountyal,20891,74501,0.280412343,25.1,86.6,21.2,3.2,73.1,0.8,73.3,166600,60891,2.1,3.5,128.2,882,4185,5249,0.168032006
escambiacounty,38319,al,escambiacountyal,17487,34573,0.505799323,12.5,81.1,31.3,2.6,60.3,0.3,68.3,99400,36275,0.7,1.4,40.5,648,2053,2822,0.22962438
etowahcounty,104430,al,etowahcountyal,34331,91811,0.373931228,17.8,84.6,15.7,4.1,77.5,0.8,72.6,113700,44637,2.8,4.1,195.2,1137,7168,8616,0.131963788
fayettecounty,17241,al,fayettecountyal,6710,15102,0.444312012,12.4,82.6,11.7,2.1,84.1,0.5,77.3,88500,39856,0.9,1.3,27.5,123,963,1139,0.107989464
franklincounty,31704,al,franklincountyal,12081,26405,0.457526984,14,77.2,4.4,17.9,76.2,0.4,70.8,95000,43514,9,16.1,50,152,2125,2338,0.065012831
genevacounty,26790,al,genevacountyal,9824,22435,0.43788723,12.5,80.3,9.3,4.2,83.6,0.4,72,100900,41732,1.5,3.7,46.6,109,1268,1429,0.076277117
greenecounty,9045,al,greenecountyal,5215,8041,0.648551175,10.1,79.2,79.9,1.7,17.5,0.3,67.1,80400,24145,0.3,0.3,14,455,152,637,0.714285714
halecounty,15760,al,halecountyal,6970,13940,0.5,14.2,84,58,1.4,39.7,0.3,75.8,89300,34046,0.2,1.1,24.5,468,576,1067,0.438612933
henrycounty,17302,al,henrycountyal,6563,15992,0.410392696,17.1,79.4,25.9,2.7,69.5,0.4,83.3,118800,50017,0.9,2.1,30.8,166,817,1031,0.161008729
houstoncounty,101547,al,houstoncountyal,31400,81158,0.386899628,21.7,86,27.4,3.4,66.1,1.1,65.7,137600,47580,2.4,3.8,175.1,1960,6409,8810,0.222474461
jacksoncounty,53227,al,jacksoncountyal,23045,50425,0.457015369,14,83.2,3.5,3.1,89,0.6,75.5,104900,41769,1.4,1.5,49.4,283,3239,3637,0.077811383
jeffersoncounty,658466,al,jeffersoncountyal,189254,531938,0.355782065,33.4,90.1,43.5,4.1,49.5,1.8,62.7,159100,53901,4.1,5.8,592.5,19911,35268,57590,0.345737107
lamarcounty,14564,al,lamarcountyal,5747,12748,0.450815814,11.9,82.3,10.3,1.9,86,0.1,75.6,80900,38364,0.8,1,24.1,135,926,1115,0.121076233
lauderdalecounty,92709,al,lauderdalecountyal,29702,80684,0.36812751,23.5,87.4,10,2.9,84.6,0.8,68.1,145000,48094,2,3.5,138.8,699,7362,8552,0.081735267
lawrencecounty,34339,al,lawrencecountyal,12150,33171,0.366283802,12.6,79.3,10.9,2.4,76.3,0.2,77.7,110500,44886,0.9,1.8,49.7,407,1754,2226,0.182839173
