Percentage of Low Income People,Education.Bachelor's Degree or Higher,Income.Median Houseold Income
0.31351395,26.6,58731
0.290533523,31.9,58320
0.50084168,11.6,32525
0.397779789,10.4,47542
0.360548304,13.1,49358
0.464441796,12.1,37785
0.478633898,16.1,40688
0.410317553,18.5,47255
0.445439768,13.3,42289
0.410292017,12.8,41919
0.410825092,12.7,47468
0.472236754,11.9,35892
0.455314362,12.2,37404
0.43671193,10.6,40845
0.410143653,15.4,44741
0.322357854,22.8,55637
0.35770437,18.1,48065
0.576164875,12.8,37837
0.406287016,12.8,38990
0.402615156,15.3,42189
0.440770906,17.4,43163
0.405290824,13.9,44918
0.410018711,18.1,47214
0.561353243,14.7,33845
0.484236164,13,40440
0.280412343,25.1,60891
0.505799323,12.5,36275
0.373931228,17.8,44637
0.444312012,12.4,39856
0.457526984,14,43514
0.43788723,12.5,41732
0.648551175,10.1,24145
0.5,14.2,34046
0.410392696,17.1,50017
0.386899628,21.7,47580
0.457015369,14,41769
0.355782065,33.4,53901
0.450815814,11.9,38364
0.36812751,23.5,48094
0.366283802,12.6,44886
0.387746531,35.3,51463
0.322436793,25.7,59686
0.542475948,14.7,30036
0.503818289,20.4,33370
0.285462189,42.8,65449
0.478746169,16.1,33241
0.464376222,12.8,35930
0.427696614,19.4,45983
0.395368011,23.2,47583
0.528331214,13.5,30441
0.412416122,33.4,50124
0.366079087,22.4,52156
0.682196499,22.8,23447
0.460304957,14.1,39848
0.509382812,23.7,37446
0.408711903,16.5,43395
0.4268138,17.8,42443
0.213327142,42.9,77799
0.321658472,16.1,58308
0.617494251,21.6,24320
0.444043081,15,41325
0.420006702,18.4,45828
0.351865931,30.7,53326
0.428676423,11.3,43629
0.445937225,12.7,41370
0.540074195,12.5,31014
0.460245549,12.8,35788
0.355475173,11.5,69250
0.288183807,17,87466
0.193334744,36.1,84928
0.563060005,11.9,53553
0.203610832,22.5,79808
0.330777656,41.1,81719
0.457123864,22.1,56898
0.227571937,31.4,76992
