State,Low Access Numbers.People.10 Miles,Vehicle Access.10 Miles,Sales.Retail Sales,Income.Median Houseold Income,Region
al,5119,222.0,607854.0,58731,South
al,2308,32.0,3145789.0,58320,South
al,4643,201.0,206477.0,32525,South
al,365,0.0,118871.0,47542,South
al,0,0.0,298745.0,49358,South
al,2586,80.0,92594.0,37785,South
al,1334,23.0,209049.0,40688,South
al,0,0.0,1463477.0,47255,South
al,680,12.0,281987.0,42289,South
al,91,1.0,200191.0,41919,South
al,473,11.0,442751.0,47468,South
al,3373,213.0,99968.0,35892,South
al,3717,167.0,341028.0,37404,South
al,978,5.0,67683.0,40845,South
al,891,11.0,63984.0,44741,South
al,2437,31.0,610054.0,55637,South
al,1013,12.0,1011336.0,48065,South
al,3487,96.0,136398.0,37837,South
al,2607,27.0,37904.0,38990,South
al,2939,7.0,452011.0,42189,South
al,4101,89.0,72731.0,43163,South
al,1075,14.0,896368.0,44918,South
al,676,5.0,323453.0,47214,South
al,4232,230.0,413111.0,33845,South
al,0,0.0,579717.0,40440,South
al,23,7.0,711587.0,60891,South
al,2126,32.0,374890.0,36275,South
al,0,7.0,1236494.0,44637,South
al,163,3.0,131208.0,39856,South
al,893,11.0,277749.0,43514,South
al,8,0.0,160796.0,41732,South
al,2971,147.0,40292.0,24145,South
al,2389,93.0,76502.0,34046,South
al,240,3.0,100338.0,50017,South
al,707,18.0,2164855.0,47580,South
al,3045,31.0,454888.0,41769,South
al,4441,49.0,10154005.0,53901,South
al,89,1.0,80934.0,38364,South
al,828,20.0,1190789.0,48094,South
al,2214,56.0,218020.0,44886,South
al,797,13.0,1632058.0,51463,South
al,309,3.0,777105.0,59686,South
al,4411,232.0,100834.0,30036,South
al,2201,116.0,93239.0,33370,South
al,346,3.0,4958015.0,65449,South
al,3950,93.0,199742.0,33241,South
al,932,7.0,229040.0,35930,South
al,0,0.0,1280023.0,45983,South
al,847,2.0,5102565.0,47583,South
al,4295,272.0,210968.0,30441,South
al,5160,86.0,3258650.0,50124,South
al,336,6.0,1673464.0,52156,South
al,4187,279.0,34746.0,23447,South
al,820,26.0,100573.0,39848,South
al,1382,23.0,373599.0,37446,South
al,2939,75.0,158271.0,43395,South
al,3927,220.0,499713.0,42443,South
al,353,4.0,2567384.0,77799,South
al,0,0.0,704432.0,58308,South
al,2483,139.0,62101.0,24320,South
al,37,0.0,743404.0,41325,South
al,2227,28.0,361849.0,45828,South
al,3266,23.0,2619255.0,53326,South
al,167,0.0,963493.0,43629,South
al,1966,49.0,75720.0,41370,South
al,4897,220.0,72837.0,31014,South
al,1033,7.0,165007.0,35788,South
ak,1226,7.0,275248.0,69250,West
ak,1190,103.0,53426.0,87466,West
ak,631,3.0,4966800.0,84928,West
ak,8747,1826.0,162806.0,53553,West
ak,561,24.0,15825.0,79808,West
ak,1826,25.0,13431.0,81719,West
ak,2462,467.0,58381.0,56898,West
ak,5178,8.0,1732505.0,76992,West
ak,519,0.0,21616.0,58059,West
ak,2137,279.0,11379.0,59803,West
ak,157,13.0,491438.0,88390,West
ak,8785,240.0,804150.0,66064,West
ak,39,4.0,235907.0,72728,West
ak,1633,7.0,115874.0,85839,West
ak,1631,259.0,275248.0,44135,West
ak,5525,91.0,1039070.0,75493,West
ak,2196,520.0,78672.0,61048,West
ak,3575,201.0,94922.0,79306,West
ak,3434,653.0,275248.0,60906,West
ak,168,16.0,44160.0,69948,West
ak,1262,76.0,48167.0,52379,West
ak,60,10.0,98539.0,73682,West
ak,3,0.0,32222.0,73906,West
ak,2090,77.0,78590.0,70056,West
ak,506,7.0,27665.0,53894,West
ak,2,0.0,5210.0,71607,West
ak,5005,1013.0,32871.0,41413,West
az,37500,1657.0,324317.0,32508,West
az,17460,307.0,1267266.0,49260,West
az,21007,731.0,1896542.0,59460,West
az,6427,121.0,485998.0,43524,West
az,4374,185.0,381772.0,51353,West
az,2678,33.0,44188.0,63473,West
az,10891,397.0,435958.0,34643,West
az,25946,7.0,57296663.0,64468,West
az,20584,434.0,2712744.0,45587,West
az,32705,1498.0,1120273.0,40067,West
az,24470,696.0,11377154.0,53379,West
az,20273,354.0,2375150.0,58174,West
az,3356,24.0,498281.0,41259,West
az,16796,192.0,2504262.0,52451,West
az,3059,30.0,1995974.0,45243,West
ar,1850,19.0,335961.0,46696,South
ar,2213,123.0,185207.0,44744,South
ar,752,19.0,476645.0,42260,South
ar,729,3.0,2905967.0,66362,South
ar,4746,43.0,493268.0,45374,South
ar,2735,83.0,98854.0,43184,South
ar,3516,96.0,17829.0,46417,South
ar,1387,19.0,230181.0,46110,South
ar,706,31.0,75895.0,34147,South
ar,5220,113.0,273667.0,41620,South
ar,429,7.0,179437.0,37233,South
ar,3314,54.0,313115.0,44483,South
ar,1920,15.0,13374.0,46684,South
ar,1486,7.0,197023.0,36193,South
ar,2794,70.0,287615.0,42802,South
ar,742,11.0,1680884.0,47286,South
ar,3430,36.0,525417.0,46828,South
ar,4731,268.0,813336.0,40161,South
ar,3370,164.0,180768.0,46787,South
ar,2605,111.0,71755.0,38072,South
ar,1183,32.0,153630.0,31893,South
ar,1747,7.0,260719.0,46997,South
ar,1480,6.0,1435806.0,52827,South
ar,847,6.0,163033.0,38923,South
ar,1703,23.0,59280.0,35405,South
ar,2499,25.0,1563962.0,44777,South
ar,1994,17.0,128922.0,55388,South
ar,1863,10.0,503474.0,47056,South
ar,3101,7.0,197584.0,42860,South
ar,4369,7.0,254197.0,43889,South
ar,3443,65.0,162503.0,36059,South
ar,2439,7.0,441118.0,44319,South
ar,126,7.0,108729.0,42876,South
ar,821,7.0,177720.0,34109,South
ar,2255,106.0,843899.0,40726,South
ar,2198,42.0,237296.0,38511,South
ar,1609,88.0,30468.0,32397,South
ar,4196,54.0,196284.0,39993,South
ar,3125,43.0,43809.0,29681,South
ar,4695,68.0,57506.0,46596,South
ar,406,6.0,104240.0,45113,South
ar,1505,7.0,152762.0,41466,South
ar,938,15.0,613431.0,59094,South
ar,4110,86.0,130207.0,41682,South
ar,1671,7.0,94779.0,36719,South
ar,801,13.0,435733.0,43371,South
ar,100,7.0,437763.0,39962,South
ar,689,4.0,90632.0,38468,South
ar,2187,51.0,28822.0,35741,South
ar,2346,7.0,159061.0,38042,South
ar,2405,61.0,17001.0,38082,South
ar,4903,201.0,221999.0,35425,South
ar,1490,32.0,30473.0,48667,South
ar,4877,7.0,223158.0,29320,South
ar,2604,53.0,70037.0,40401,South
ar,1570,24.0,177995.0,40921,South
ar,6680,141.0,193462.0,37974,South
ar,1595,22.0,869392.0,43462,South
ar,388,5.0,54327.0,42660,South
ar,581,2.0,7234436.0,51749,South
ar,2486,62.0,170739.0,37218,South
ar,2621,5.0,1404835.0,64412,South
ar,1824,7.0,50360.0,36092,South
ar,2693,73.0,49780.0,36438,South
ar,288,3.0,1944468.0,46228,South
ar,2624,27.0,190490.0,47704,South
ar,1311,6.0,152565.0,34671,South
ar,3206,248.0,316233.0,35348,South
ar,3097,88.0,107472.0,38188,South
ar,3978,29.0,511069.0,44663,South
ar,1799,35.0,168365.0,38499,South
ar,1437,16.0,2925758.0,50451,South
ar,4690,79.0,911665.0,44029,South
ar,486,20.0,74228.0,32845,South
ar,2299,26.0,121382.0,43923,South
ca,121,2.0,20901014.0,99406,West
ca,669,19.0,576.0,63750,West
ca,66,1.0,321498.0,62772,West
ca,1163,15.0,2576900.0,52537,West
ca,95,3.0,252345.0,63158,West
ca,6384,111.0,127885.0,59401,West
ca,0,0.0,11847866.0,99716,West
ca,2943,130.0,192759.0,45283,West
ca,207,0.0,1597758.0,83377,West
ca,6748,92.0,9117752.0,53969,West
ca,1420,28.0,191222.0,49633,West
ca,4858,106.0,1759201.0,48041,West
ca,11817,134.0,1676853.0,47622,West
ca,4225,90.0,229032.0,57316,West
ca,31000,939.0,8640550.0,53350,West
ca,99,0.0,1031953.0,57848,West
ca,84,7.0,522337.0,47040,West
ca,9891,99.0,215837.0,56352,West
ca,3798,27.0,121389378.0,68044,West
ca,594,1.0,1012856.0,57585,West
ca,643,6.0,5087526.0,115246,West
ca,1473,41.0,102452.0,48820,West
ca,3428,7.0,1095233.0,51416,West
ca,1489,24.0,1959473.0,53672,West
ca,3486,15.0,45741.0,45507,West
ca,5711,68.0,139784.0,62260,West
ca,5822,35.0,4457401.0,71015,West
ca,954,4.0,1699004.0,88596,West
ca,523,9.0,1012263.0,66096,West
ca,0,0.0,45193625.0,90234,West
ca,1231,23.0,6437879.0,89691,West
ca,1261,9.0,139325.0,55359,West
ca,10619,30.0,25058857.0,67005,West
ca,1706,7.0,15227280.0,67151,West
ca,692,5.0,345195.0,86958,West
ca,19505,331.0,24380486.0,63362,West
ca,9944,83.0,39786069.0,78980,West
ca,0,0.0,14632652.0,112449,West
ca,231,3.0,7059491.0,64432,West
ca,4012,51.0,3624029.0,73518,West
ca,1432,20.0,11330620.0,122641,West
ca,3034,26.0,4853808.0,74624,West
ca,246,2.0,40336741.0,124055,West
ca,14,0.0,4367955.0,82234,West
ca,4098,47.0,2507063.0,54667,West
ca,2859,57.0,5072.0,52148,West
ca,6294,135.0,426654.0,45241,West
ca,60,0.0,5106627.0,81472,West
ca,2069,46.0,6016331.0,81018,West
ca,615,1.0,5933581.0,60704,West
ca,1342,26.0,1069489.0,59050,West
ca,3423,75.0,654574.0,44514,West
ca,2428,54.0,72655.0,40846,West
ca,3750,46.0,3903527.0,49687,West
ca,584,0.0,573262.0,60108,West
ca,327,7.0,11194185.0,88131,West
ca,6416,150.0,1968762.0,70228,West
ca,281,4.0,390218.0,58054,West
co,1215,11.0,5548735.0,71202,West
co,745,12.0,280686.0,37515,West
co,1044,7.0,9404716.0,77469,West
co,989,6.0,130827.0,52221,West
co,956,7.0,38425.0,35878,West
co,808,9.0,17419.0,30900,West
co,604,3.0,4498340.0,83019,West
co,0,0.0,1000246.0,96416,West
co,802,7.0,249260.0,55771,West
co,622,3.0,18526.0,53977,West
co,1116,10.0,75334.0,67060,West
co,466,5.0,35930.0,36084,West
co,3524,137.0,11670.0,30965,West
co,107,2.0,16987.0,42135,West
co,1036,6.0,48594.0,53119,West
co,362,2.0,309801.0,45269,West
co,0,0.0,7111416.0,68592,West
co,2064,7.0,10033.0,45972,West
co,1792,18.0,4308812.0,119730,West
co,571,7.0,806027.0,84790,West
co,12468,106.0,7929252.0,68779,West
co,6106,7.0,105690.0,99199,West
co,3234,45.0,334867.0,49409,West
co,504,2.0,950048.0,75937,West
co,0,0.0,6398.0,76429,West
co,419,1.0,156063.0,71198,West
