,County,Population,State,mergedkeycol,Housing Data.Residing in Group Quarters,Housing Data.Total Housing Units,Vehicle Access.1 Mile,Vehicle Access.1/2 Mile,Vehicle Access.10 Miles,Vehicle Access.20 Miles,Low Access Numbers.Children.1 Mile,Low Access Numbers.Children.1/2 Mile,Low Access Numbers.Children.10 Miles,Low Access Numbers.Children.20 Miles,Low Access Numbers.Low Income People.1 Mile,Low Access Numbers.Low Income People.1/2 Mile,Low Access Numbers.Low Income People.10 Miles,Low Access Numbers.Low Income People.20 Miles,Low Access Numbers.People.1 Mile,Low Access Numbers.People.1/2 Mile,Low Access Numbers.People.10 Miles,Low Access Numbers.People.20 Miles,Low Access Numbers.Seniors.1 Mile,Low Access Numbers.Seniors.1/2 Mile,Low Access Numbers.Seniors.10 Miles,Low Access Numbers.Seniors.20 Miles,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Employment.Nonemployer Establishments,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino,Housing.Homeownership Rate,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Housing.Persons per Household,Income.Median Houseold Income,Income.Per Capita Income,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Manufacturers Shipments,Miscellaneous.Mean Travel Time to Work,Miscellaneous.Percent Female,Miscellaneous.Veterans,Population.2020 Population,Population.2010 Population,Population.Population per Square Mile,Sales.Accommodation and Food Services Sales,Sales.Retail Sales,Employment.Firms.Total,Employment.Firms.Women-Owned,Employment.Firms.Men-Owned,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Veteran-Owned,Employment.Firms.Nonveteran-Owned
0,autaugacounty,54571,al,autaugacountyal,455,20221,834,1045,222.0,0,9973,13281,1199,0,12067,15518,2307,0,37424.0,49497,5119,0,4393,5935.0,707,0,16.0,23.2,5.9,26.6,88.5,3350.0,0.5,1.2,20.1,3.0,0.1,1.9,76.3,73.8,73.3,21397.0,23896.0,154500.0,2.56,58731,29819,2.3,594.44,4.3,87.9,665897.0,24.4,51.5,5272.0,58805,54571,91.8,93431.0,607854.0,2949,1093,1499,616.0,2160,285,2401
1,baldwincounty,182265,al,baldwincountyal,2307,73180,1653,2178,32.0,0,30633,38278,516,0,38848,48117,846,0,132442.0,165616,2308,0,21828,27241.0,390,0,21.0,21.3,5.4,31.9,90.8,20047.0,0.8,1.1,8.8,4.7,0.1,1.9,87.4,83.2,75.2,80930.0,119412.0,197900.0,2.59,58320,32626,3.7,1589.78,5.4,88.3,1438760.0,26.9,51.5,19663.0,231767,182265,114.6,560602.0,3145789.0,19732,6505,10935,2130.0,16893,2364,16183
2,barbourcounty,27457,al,barbourcountyal,3193,9820,545,742,201.0,0,3701,4943,791,0,9290,11901,2440,0,16444.5,23762,4643,0,2537,3348.0,629,0,19.7,20.6,5.3,11.6,73.2,1329.0,0.7,0.5,48.2,4.5,0.2,1.2,49.2,45.5,60.9,9345.0,12080.0,90700.0,2.41,32525,18473,2.7,884.88,7.1,85.5,735098.0,22.4,47.1,1328.0,25223,27457,31.0,26157.0,206477.0,1687,760,755,657.0,941,147,1445
3,bibbcounty,22915,al,bibbcountyal,2224,7953,312,441,0.0,0,4198,4824,90,0,6480,8349,102,0,17560.0,20989,365,0,2262,2630.0,72,0,16.7,20.3,5.6,10.4,79.1,1101.0,0.5,0.2,21.3,2.8,0.1,1.2,76.8,74.4,74.4,6891.0,9261.0,92800.0,2.99,47542,20778,1.5,622.58,2.3,89.7,117488.0,29.7,46.7,1433.0,22293,22915,36.8,10136.0,118871.0,1310,254,958,205.0,1050,288,967
4,blountcounty,57322,al,blountcountyal,489,21578,752,822,0.0,0,12575,13583,0,0,18188,19806,0,0,50848.0,54933,0,0,7114,7810.0,0,0,18.7,22.9,5.9,13.1,80.5,3710.0,0.6,0.3,1.7,9.7,0.1,1.4,95.8,86.8,78.8,20847.0,24517.0,127800.0,2.74,49358,24747,4.5,644.78,8.2,93.4,342971.0,34.4,50.8,3417.0,59134,57322,88.9,27146.0,298745.0,4550,1400,2746,368.0,4011,353,4030
5,bullockcounty,10914,al,bullockcountyal,1690,3745,334,433,80.0,0,1872,2243,560,0,3998,4676,1267,0,8709.0,10068,2586,0,1118,1305.0,488,0,16.9,20.8,5.6,12.1,74.7,498.0,0.8,0.2,70.3,8.6,0.8,1.3,26.6,21.0,71.1,3521.0,4587.0,70300.0,2.79,37785,20877,0.7,622.81,3.4,93.0,740163.0,27.2,45.5,267.0,10357,10914,17.5,44746.0,92594.0,650,365,252,389.0,229,82,538
6,butlercounty,20947,al,butlercountyal,333,8491,327,542,23.0,0,3014,4386,270,0,5961,8647,556,0,13062.0,18066,1334,0,2132,2856.0,259,0,20.8,22.0,5.7,16.1,85.0,1081.0,0.4,1.4,45.0,1.5,0.0,1.1,52.1,51.1,70.0,9917.5,10147.0,95900.0,3.0,40688,21038,0.8,776.83,1.3,93.6,811313.0,23.7,53.6,1011.0,19051,20947,27.0,32184.0,209049.0,1390,497,741,416.0,889,176,1128
7,calhouncounty,118572,al,calhouncountyal,2919,47331,1386,2334,0.0,0,16631,23624,0,0,27692,42330,0,0,73009.0,103164,0,0,10097,14513.0,0,0,18.1,21.5,5.8,18.5,84.4,6811.0,0.5,0.9,21.3,4.1,0.1,2.0,75.1,71.7,70.1,44605.0,53796.0,118000.0,2.5,47255,25345,2.7,605.87,4.3,84.0,2713200.0,25.0,52.0,9661.0,116441,118572,195.7,199072.0,1463477.0,7513,2570,4113,1041.0,6103,938,6084
8,chamberscounty,34215,al,chamberscountyal,458,13933,607,825,12.0,0,4809,6512,115,0,9202,12879,292,0,21766.0,28913,680,0,3491,4690.0,144,0,20.2,20.8,5.7,13.3,81.6,2108.0,0.3,1.1,40.2,2.6,0.0,1.3,57.0,55.1,67.5,13448.0,17009.0,97100.0,2.46,42289,22729,1.8,596.53,2.4,89.9,474018.0,23.7,52.2,2102.0,34772,34215,57.4,30302.0,281987.0,2812,1143,1504,1107.0,1635,335,2389
9,cherokeecounty,25989,al,cherokeecountyal,290,10626,361,397,1.0,0,5156,5384,19,0,9864,10341,34,0,24078.0,25204,91,0,4295,2416.0,12,0,23.5,18.9,4.6,12.8,81.6,1686.0,0.7,0.4,4.1,1.7,0.0,1.6,93.2,91.7,77.3,10737.0,16715.0,123400.0,2.39,41919,24301,0.9,553.7,1.5,90.5,367956.0,29.5,50.7,1883.0,24971,25989,46.9,17160.0,200191.0,1555,589,840,68.0,1430,125,1332
